,,,,,,,,,,
,,,,,,,,,,
,Area,Orientación,Materia,Clave,Tipo,Teoria,Práctica,Totales,Creditos,Prerrequisito
,,,Analisis de Problemas Globales del Siglo XXI,,,,,,0,
,BC,,Álgebra lineal,IB056,CT,40,40,80,8,
,BC,,Análisis de Fourier,IE122,CT,60,20,80,9,Variable compleja
,BC,,Análisis de sistemas y señales,IE123,CT,40,40,80,8,Análisis de Fourier
,BC,,Cálculo de varias variables,ID924,CT,40,40,80,8,Cálculo integral
,BC,,Cálculo diferencial,ID925,CT,40,40,80,8,Precálculo
,BC,,Cálculo integral,ID926,CT,40,40,80,8,Cálculo diferencial
,BC,,Circuitos eléctricos de CA,ID927,CT,20,60,80,7,Circuitos eléctricos de CD
,BC,,Circuitos eléctricos de CD,ID928,CT,20,60,80,7,Álgebra lineal
,BC,,Diseño electrónico analógico,ID929,CT,40,40,80,8,Circuitos eléctricos de CA
,BC,,Diseño electrónico asistido por computadora,ID930,CT,20,40,60,6,Electrónica de potencia
,BC,,Diseño electrónico digital,ID931,CT,40,40,80,8,Circuitos eléctricos de CA
,BC,,Ecuaciones diferenciales,ID932,CT,40,40,80,8,Cálculo integral
,BC,,Estructura de datos,ID933,CT,40,40,80,8,Programación estructurada
,BC,,Expresión oral y escrita,LT251,CT,40,20,60,6,
,BC,,Introducción a los sistemas electrónicos y computacionales,ID934,CT,20,40,60,6,
,BC,,Introducción al diseño de algoritmos,ID935,CT,40,40,80,8,
,BC,,Matemáticas discretas,I5691,CT,40,40,80,8,
,BC,,Mecánica,ID936,CT,40,40,80,8,
,BC,,Métodos numéricos,ID937,CT,20,60,80,7,Simultaneo o posterior a Ecuaciones diferenciales
,BC,,Precálculo,MT101,CT,40,60,100,9,
,BC,,Probabilidad y estadística,ID938,CT,40,20,60,6,Precálculo
,BC,,Programación estructurada,ID939,CT,20,40,60,6,Introducción al diseño de algoritmos
,BC,,Programación orientada a objetos,ID940,CT,40,40,80,8,Programación estructurada
,BC,,Química,D1388,CT,40,20,60,6,
,BC,,Variable compleja,ID941,CT,40,40,80,8,Cálculo de varias variables
,BPO,,Bases de datos,ID942,CT,40,40,80,8,Estructura de datos
,BPO,,Controladores lógicos programables,ID943,CT,40,40,80,8,Sistemas de adquisición de datos
,BPO,,Desarrollo de productos,ID944,CT,20,60,80,7,Formulación y evaluación de proyectos
,BPO,,Diseño y programación de sistemas operativos,ID945,CT,20,40,60,6,Programación estructurada
